x_tokens,y_tokens
"[""don't"", 'be', 'afraid', 'of', 'making', 'mistakes']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['some', 'english', 'words', 'have', 'two', 'spellings', 'gray', 'and', 'grey', 'for', 'example']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['une', 'minute']","['FR', 'FR']"
"['les', 'eaux', 'calmes', 'sont', 'profondes']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['the', 'bad', 'weather', 'delayed', 'the', 'plane', 'for', 'two', 'hours']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['ton', 'histoire', 'ne', 'concorde', 'pas', 'avec', 'ce', 'que', ""j'ai"", 'entendu']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['i', 'cried', 'all', 'night', 'long']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['seul', 'toi', 'peux', 'transporter', 'le', 'sac']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['il', 'nous', 'faut', 'encore', 'découvrir', 'un', 'remède', 'efficace', 'pour', 'le', 'cancer']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['nous', 'avons', 'décidé', ""d'adopter"", 'ton', 'idée']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['let', 'me', 'go', 'alone']","['EN', 'EN', 'EN', 'EN']"
"['you', 'must', 'not', 'touch', 'the', 'paintings']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['me', 'prends-tu', 'pour', 'un', 'imbécile']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['le', 'public', 'est', 'le', 'meilleur', 'juge']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['she', 'is', 'better', 'than', 'any', 'of', 'her', 'classmates', 'speaking', 'english']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['des', 'nuages', 'naviguent', 'à', 'travers', 'le', 'ciel']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['cela', 'vous', 'dérange-t-il', 'si', ""j'allume"", 'la', 'radio']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['il', 'sera', 'parti', ""d'ici"", 'au', 'moment', 'où', 'tu', 'reviens']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['tu', 'peux', 'rester', 'avec', 'nous', 'pour', ""l'instant""]","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['i', ""don't"", 'want', 'to', 'go', 'if', 'you', ""don't"", 'go', 'with', 'me']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['linda', 'loves', 'chocolate']","['EN', 'EN', 'EN']"
"['il', ""n'y"", 'a', 'pas', 'de', 'souci', 'avec', 'le', 'moteur']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['du', 'poisson', ""s'il"", 'vous', 'plaît']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['all', 'the', 'members', 'of', 'the', 'committee', 'hate', 'one', 'another']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"[""qu'associes-tu"", 'à', ""l'été""]","['FR', 'FR', 'FR']"
"['may', 'i', 'ask', 'a', 'question']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['the', 'cancer', 'has', 'spread', 'to', 'her', 'stomach']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['le', 'palace', 'a', 'une', 'grande', 'tour']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['uh', 'now', ""it's"", 'really', 'weird', '...']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['your', 'hair', 'really', 'does', 'look', 'untidy']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['allez', 'à', ""l'école""]","['FR', 'FR', 'FR']"
"['what', 'are', 'you', 'learning', 'from', 'the', 'teacher']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['is', 'this', 'your', 'son', 'betty']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['the', 'pirates', 'buried', 'their', 'treasure', 'in', 'the', 'ground']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['the', 'king', 'ruled', 'his', 'kingdom', 'justly']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['how', 'much', 'is', 'the', 'monthly', 'rate']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['is', 'it', 'a', 'recent', 'picture']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['il', 'y', 'a', 'une', 'station', 'de', 'taxis', 'près', 'de', 'la', 'gare']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['i', 'will', 'have', 'finished', 'the', 'work', 'before', 'you', 'return']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['what', 'did', 'you', 'make']","['EN', 'EN', 'EN', 'EN']"
"[""i'm"", 'sick', 'and', 'tired', 'of', 'being', 'sick', 'and', 'tired']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['there', 'is', 'much', 'truth', 'in', 'what', 'you', 'say']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['you', ""aren't"", 'a', 'spy', 'are', 'you']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['nous', ""l'admirons"", 'pour', 'son', 'courage']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['the', 'police', 'are', 'really', 'good', 'at', 'understanding', 'someone', 'stole', 'my', 'credit', 'card', 'and', 'ran', 'up', 'a', 'lot', 'of', 'charges', ""it's"", 'a', 'lot', 'harder', 'to', 'get', 'them', 'to', 'buy', 'into', 'someone', 'stole', 'my', 'magic', 'sword']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['he', 'is', 'playing', 'outdoors']","['EN', 'EN', 'EN', 'EN']"
"['je', 'déteste', 'ces', 'araignées', 'elles', 'sont', 'toujours', 'là', 'pour', 'me', 'ficher', 'la', 'trouille', 'quand', ""j'fais"", 'le', 'ménage']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['ce', ""n'était"", 'pas', 'si', 'simple', ""d'écrire"", 'une', 'lettre', 'en', 'anglais']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['vous', 'devez', 'faire', 'preuve', 'de', 'davantage', 'de', 'soin', 'lorsque', 'vous', 'écrivez', 'en', 'anglais']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"[""j'ai"", 'un', 'ami', 'dont', 'le', 'père', 'est', 'un', 'pianiste', 'connu']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['there', 'appears', 'to', 'have', 'been', 'an', 'accident']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['even', 'though', 'she', 'rushed', 'the', 'elderly', 'woman', 'missed', 'the', 'last', 'train']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['fish', 'please']","['EN', 'EN']"
"['nous', 'jouerons', 'contre', 'le', 'lycée', 'minami', 'demain']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['nous', 'fûmes', 'choquées', 'à', 'la', 'nouvelle', 'de', 'sa', 'mort']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['it', 'was', 'cold', 'and', 'in', 'addition', 'it', 'was', 'windy']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"[""we've"", 'been', 'friends', 'ever', 'since']","['EN', 'EN', 'EN', 'EN', 'EN']"
"[""j'espère"", 'te', 'voir', 'bientôt']","['FR', 'FR', 'FR', 'FR']"
"['you', 'can', 'make', 'it', 'go', 'for', 'it', ""i'll"", 'stand', 'by', 'you']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['i', 'went', 'to', 'drink', 'a', 'beer', 'with', 'friends']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['go', 'ahead', 'and', 'talk']","['EN', 'EN', 'EN', 'EN']"
"[""it's"", 'getting', 'late', 'i', ""don't"", 'wanna', 'go', 'home', 'alone']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['tu', 'dois', 'faire', 'preuve', 'de', 'davantage', 'de', 'soin', 'lorsque', 'tu', 'écris', 'en', 'anglais']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['how', 'many', 'pupils', 'are', 'there', 'in', 'your', 'school']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['open', 'your', 'mouth']","['EN', 'EN', 'EN']"
"['the', 'doctor', 'said', 'that', 'he', 'would', 'be', 'well', 'if', 'he', 'took', 'his', 'medicine']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['you', 'were', 'kind', 'to', 'help', 'me']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['je', 'ne', 'veux', 'pas', 'y', 'aller', 'si', 'tu', ""n'y"", 'vas', 'pas', 'avec', 'moi']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['i', 'cleared', 'the', 'roof', 'of', 'snow']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['can', 'you', 'recommend', 'a', 'good', 'camera']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['merci', 'de', ""m'aider"", 'il', ""n'y"", 'a', 'pas', 'de', 'quoi']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['hors', 'de', 'question']","['FR', 'FR', 'FR']"
"['we', 'could', 'see', 'the', 'lights', 'of', 'the', 'town', 'in', 'the', 'distance']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['les', 'anglais', 'sont', 'pour', 'la', 'plupart', 'conservateurs']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['a', 'bad', 'habit', 'is', 'easily', 'acquired']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['bien', 'sûr', 'que', 'puis-je', 'faire']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['the', 'robber', 'bashed', 'her', 'head', 'in']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['les', 'fruits', 'tendent', 'à', 'rapidement', 'se', 'décomposer']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['you', 'should', 'brush', 'your', 'teeth', 'at', 'least', 'twice', 'a', 'day']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['each', 'room', 'is', 'equipped', 'with', 'large', 'desks']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['i', 'liked', 'your', 'idea', 'and', 'adopted', 'it']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['voudrais-tu', 'laisser', 'un', 'message']","['FR', 'FR', 'FR', 'FR']"
"['we', 'were', 'shocked', 'at', 'the', 'news', 'of', 'his', 'death']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['tout', 'ce', 'que', 'tu', 'peux', 'faire', ""c'est"", 'attendre']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['je', 'dois', 'me', 'donner', 'à', 'fond', 'dans', 'les', 'études', 'pour', 'les', 'examens', 'finaux']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"[""j'aime"", 'autant', 'les', 'chats', 'que', 'les', 'chiens']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['you', 'will', 'find', 'it', 'stated', 'a', 'few', 'pages', 'further', 'on']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['enlève', 'tes', 'chaussures']","['FR', 'FR', 'FR']"
"['i', 'am', 'glad', 'that', 'you', 'have', 'returned', 'safe']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['ta', 'réponse', 'est', 'fausse']","['FR', 'FR', 'FR', 'FR']"
"['as', 'it', 'was', 'printed', 'in', 'haste', 'the', 'book', 'has', 'many', 'misprints']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['fût-il', 'resté', 'chez', 'lui', 'ce', 'jour-là', 'il', ""n'aurait"", 'pas', 'connu', 'le', 'désastre']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['you', 'really', ""don't"", 'have', 'the', 'right', 'priorities']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"[""i'm"", 'surprised', 'that', ""you're"", 'so', 'naïve']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['i', 'wish', 'you', 'a', 'happy', 'new', 'year']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['in', 'case', 'the', 'shipment', 'is', 'delayed', 'we', 'have', 'special', 'delay', 'insurance']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['la', 'fille', 'sur', 'cette', 'image', 'porte', 'une', 'couronne', 'non', 'pas', ""d'or"", 'mais', 'de', 'fleurs']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['do', 'you', 'have', 'a', 'cheaper', 'room']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['doctors', 'should', 'keep', 'abreast', 'with', 'all', 'the', 'latest', 'developments', 'in', 'medicine']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['the', 'sky', 'grew', 'darker', 'and', 'darker', 'and', 'the', 'wind', 'blew', 'harder', 'and', 'harder']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['nous', 'sommes', 'confrontés', 'à', 'de', 'nombreuses', 'difficultés']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['the', 'lions', 'are', 'in', 'the', 'cage']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['correct', 'my', 'spelling', 'if', ""it's"", 'wrong']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['i', 'think', 'my', 'living', 'with', 'you', 'has', 'influenced', 'your', 'way', 'of', 'living']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"[""l'air"", 'est', 'un', 'mélange', 'de', 'différents', 'gaz']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['vous', ""n'avez"", 'pas', 'besoin', 'de', 'vous', 'presser']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['je', 'suis', 'prête', 'à', 'tout', 'faire', 'pour', 'toi']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['exercise', 'is', 'vital', 'for', 'a', 'dog']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['je', 'trouve', 'dur', 'de', 'se', 'réveiller', 'tôt', 'par', 'matins', 'froids']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['our', 'team', 'were', 'wearing', 'red', 'shirts']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['je', 'ne', ""m'abaisserai"", 'pas', 'à', 'son', 'niveau']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['i', 'know', 'how', 'you', 'feel']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['il', 'est', 'étrange', 'que', 'tu', ""n'aies"", 'pas', 'réussi']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['tu', 'aurais', 'dû', 'le', 'voir']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['how', 'tall', 'you', 'are']","['EN', 'EN', 'EN', 'EN']"
"['hurry', 'up', 'or', 'you', 'will', 'miss', 'the', 'train']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['your', 'work', 'is', 'below', 'average']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['êtes-vous', 'venu', 'seul', 'ici']","['FR', 'FR', 'FR', 'FR']"
"['is', 'the', 'school', 'on', 'this', 'side', 'of', 'the', 'river']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['if', 'it', 'had', 'not', 'been', 'for', 'your', 'raincoat', 'i', 'would', 'have', 'been', 'drenched', 'to', 'the', 'skin']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['nous', 'devons', 'réduire', 'les', 'frais', ""d'entreprise"", 'ne', 'vous', 'a-t-on', 'jamais', 'dit', 'de', 'regarder', 'combien', 'vous', 'gagnez', 'avant', 'de', 'commencer', 'à', 'dépenser']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['your', 'study', 'will', 'bear', 'fruit']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['your', 'voice', 'carries', 'well']","['EN', 'EN', 'EN', 'EN']"
"['vous', 'pouvez', 'y', 'aller', 'immédiatement']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['music', 'and', 'art', 'can', 'greatly', 'contribute', 'to', 'the', 'enjoyment', 'of', 'life']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['has', 'the', 'movie', 'started', 'yet']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['are', 'you', 'having', 'a', 'good', 'time']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"[""m'as-tu"", 'appelé', 'hier', 'soir']","['FR', 'FR', 'FR', 'FR']"
"['je', 'préfère', 'sortir', 'que', 'de', 'rester', 'à', 'la', 'maison']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['la', 'mer', 'est', 'apparue']","['FR', 'FR', 'FR', 'FR']"
"['the', 'movie', 'was', 'interesting', 'as', 'i', 'had', 'expected']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['did', 'you', 'hear', 'the', 'news', 'on', 'the', 'radio', 'this', 'morning']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['montrez-moi', 'comment', 'faire', ""s'il"", 'vous', 'plaît']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['le', 'médecin', ""l'a"", 'persuadé', ""d'arrêter"", 'de', 'fumer']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['instead', 'of', 'going', 'myself', 'i', 'sent', 'a', 'messenger']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['je', 'pense', 'que', 'vous', 'avez', 'raison']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['express', 'your', 'idea', 'clearly']","['EN', 'EN', 'EN', 'EN']"
"['si', 'ton', 'café', 'est', 'trop', 'fort', 'ajoute', 'du', 'sucre']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['nowadays', 'children', 'do', 'not', 'play', 'outdoors']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['nous', 'désirons', 'la', 'paix', 'dans', 'le', 'monde']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"[""n'êtes-vous"", 'pas', 'fatigués']","['FR', 'FR', 'FR']"
"['le', 'communisme', ""s'étant"", 'effondré', 'le', 'capitalisme', 'est', 'maintenant', 'accusé', 'de', 'vouloir', 'dominer', 'le', 'monde']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['it', 'is', 'better', 'to', 'take', 'your', 'time', 'than', 'to', 'hurry', 'and', 'make', 'mistakes']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['coming', 'events', 'cast', 'their', 'shadows', 'before']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['je', 'te', 'montrerai', 'comment', 'le', 'résoudre']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['you', 'have', 'to', 'look', 'out', 'for', 'other', 'cars', 'when', 'you', 'drive']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['faites', 'bon', 'voyage']","['FR', 'FR', 'FR']"
"['the', 'doctor', 'advised', 'me', 'to', 'exercise', 'more']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['a', 'rope', 'was', 'thrown', 'into', 'the', 'water']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"[""l'école"", 'commence', 'en', 'avril']","['FR', 'FR', 'FR', 'FR']"
"['i', 'am', 'ready', 'to', 'do', 'anything', 'for', 'you']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['fire', 'burns']","['EN', 'EN']"
"['i', 'would', 'rather', 'stay', 'at', 'home']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['here', 'is', 'your', 'bag']","['EN', 'EN', 'EN', 'EN']"
"['when', 'is', 'school', 'over']","['EN', 'EN', 'EN', 'EN']"
"[""l'homme"", 'que', 'tu', 'as', 'rencontré', 'à', 'la', 'gare', 'est', 'mon', 'père']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"[""qu'est-ce"", 'que', 'tu', 'cherches']","['FR', 'FR', 'FR', 'FR']"
"['all', 'that', 'glitters', 'is', 'not', 'gold']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['meeting', 'my', 'old', 'friend', 'was', 'very', 'pleasant']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['you', 'will', 'soon', 'come', 'to', 'like', 'this', 'town']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['it', 'is', 'necessary', 'that', 'you', 'see', 'a', 'doctor']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['you', 'have', 'no', 'need', 'to', 'be', 'ashamed']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['les', 'trains', 'passent', 'plus', 'fréquemment', 'que', 'les', 'bus']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['que', 'voudrais-tu', 'faire', 'tant', 'que', 'tu', 'es', 'ici']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['you', 'should', 'be', 'more', 'careful']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['je', ""n'en"", 'crois', 'pas', 'mes', 'yeux']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['un', 'énorme', 'déficit', 'dans', 'le', 'budget', 'fédéral', 'empoisonne', ""l'économie"", 'américaine', 'depuis', 'de', 'nombreuses', 'années']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['où', 'est', 'la', 'gare']","['FR', 'FR', 'FR', 'FR']"
"['i', 'forget', 'your', 'telephone', 'number']","['EN', 'EN', 'EN', 'EN', 'EN']"
"['il', 'vous', 'faut', 'prendre', 'en', 'compte', 'sa', 'jeunesse']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['je', ""n'ai"", 'jamais', 'aimé', 'la', 'biologie']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"[""won't"", 'you', 'go', 'shopping', 'with', 'me']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['presse-toi', 'ou', 'tu', 'vas', 'manquer', 'le', 'train']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['he', 'told', 'me', 'the', 'story', 'of', 'his', 'life']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['je', 'suis', 'très', 'content', 'que', 'tu', 'visites', 'tokyo', 'le', 'mois', 'prochain']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['the', 'weather', 'is', 'threatening']","['EN', 'EN', 'EN', 'EN']"
"['la', 'facture', 'se', 'montait', 'à', '100', 'dollars']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['you', ""needn't"", 'have', 'hurried', ""you've"", 'arrived', 'too', 'early']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['lucie', 'a', 'autant', ""d'amis"", 'que', 'moi']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['i', 'think', 'you', 'had', 'better', 'stay', 'with', 'us']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['if', 'we', 'knew', 'what', 'we', 'were', 'doing', 'it', ""wouldn't"", 'be', 'called', 'research', 'would', 'it']","['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']"
"['je', 'ne', 'le', 'connais', 'pas']","['FR', 'FR', 'FR', 'FR', 'FR']"
"['le', 'docteur', 'me', 'conseilla', 'de', 'faire', 'plus', ""d'exercice""]","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
"['si', 'vous', 'voulez', 'bien', 'me', 'suivre', '...']","['FR', 'FR', 'FR', 'FR', 'FR', 'FR', 'FR']"
['attention'],['FR']
